Name,Symbol,Last,Chg. %,Market Cap,Vol.,,
Xperi,XPER,11.38,0%,1.23B,646.70K,,
TTM,TTMI,11.12,0.82%,1.19B,973.39K,,
Formula Systems ADR,FORTY,77.46,0%,1.17B,0,,
TechTarget,TTGT,42.27,2.62%,1.16B,210.54K,,
Radware,RDWR,24.15,0.37%,1.12B,175.81K,,
Ontrak,OTRK,64.06,7.29%,1.11B,560.28K,,
Upland Software Inc,UPLD,37.61,2.54%,1.11B,224.69K,,
EverQuote A,EVER,40.43,8.04%,1.11B,283.06K,,
Infinera,INFN,5.84,-0.51%,1.09B,1.27M,,
Domo,DOMO,37.57,4.04%,1.08B,284.65K,,
Sitime Corp,SITM,78.27,2.23%,1.08B,107.01K,,
Quanterix,QTRX,32.77,3.80%,1.03B,122.09K,,
FARO,FARO,57.15,1.98%,1.02B,61.86K,,
AudioCodes,AUDC,31.53,3.58%,980.90M,167.26K,,
ePlus,PLUS,72.12,-1.26%,977.47M,37.30K,,
Secureworks,SCWX,11.68,-6.34%,959.40M,146.75K,,
Tabula Rasa HealthCare,TRHC,40.59,5.43%,931.96M,221.68K,,
nLIGHT,LASR,23.5,1.08%,913.54M,566.14K,,
Gravity Co,GRVY,132.49,1.44%,907.60M,31.96K,,
NETGEAR,NTGR,29.61,-1.23%,885.44M,216.04K,,
Ebang Intl,EBON,9.85,2.50%,880.56M,483.20K,,
QAD A,QADA,41.24,-1.10%,853.49M,102.85K,,
Ultra Cleans,UCTT,20.85,-1%,842.34M,424.06K,,
Onespan,OSPN,20.76,2.52%,837.57M,178.14K,,
CEVA,CEVA,37.68,1.07%,834.94M,151.43K,,
Monotype,TYPE,19.84,0%,833.28M,0,,
Nextgen Healthcare,NXGN,12.23,3.12%,815.37M,253.07K,,
Carbonite,CARB,22.98,0%,798.15M,0,,
TiVo,TIVO,6.09,0%,777.69M,0,,
MobileIron,MOBL,6.64,19.86%,776.11M,10.18M,,
GreenSky,GSKY,4.15,0.97%,756.90M,424.97K,,
Endurance Intl,EIGI,5.3,3.92%,745.91M,277.99K,,
Axcelis,ACLS,21.52,-1.82%,720.17M,274.00K,,
Tucows Inc.,TCX,67.77,-0.34%,718.60M,22.14K,,
Magnite,MGNI,6.46,4.03%,712.22M,1.25M,,
Limelight,LLNW,5.78,1.76%,705.58M,1.69M,,
Cohu,COHU,16.8,0.24%,703.30M,154.94K,,
Majesco,MJCO,16,0%,693.96M,0,,
PDF Solutions,PDFS,19,0.74%,693.90M,88.34K,,
Trivago,TRVG,1.54,0%,692.47M,276.31K,,
Stratasys Ltd,SSYS,12.08,0.12%,657.65M,830.46K,,
Accelerate Diagnostics,AXDX,11.5,10.58%,648.09M,365.39K,,
Conduent,CNDT,3.09,1.64%,646.52M,1.38M,,
QAD B,QADB,31.13,0%,644.26M,0,,
Photronics,PLAB,9.8,-0.20%,643.50M,468.40K,,
Hollysys Automation Tech,HOLI,10.62,-0.09%,642.90M,182.27K,,
Control4 Co,CTRL,23.91,0%,637.46M,0,,
Jiayin,JFIN,2.9,1.75%,626.69M,69.68K,,
Smart Global,SGH,25.82,-1.03%,623.79M,147.55K,,
Ebix,EBIX,19.93,3.26%,616.09M,231.41K,,
Magic,MGIC,12.41,0.65%,603.29M,23.55K,,
Changyoucom,CYOU,10.74,0%,590.62M,0,,
Himax,HIMX,3.35,-0.89%,581.98M,498.81K,,
Impinj,PI,25.46,1.76%,581.90M,155.38K,,
Camtek,CAMT,15,1.15%,574.25M,37.38K,,
Agilysys,AGYS,24.32,2.83%,573.70M,74.34K,,
Veeco,VECO,11.52,0.79%,571.61M,779.10K,,
FuelCell Energy,FCEL,2.29,0.44%,548.17M,5.57M,,
Ribbon Com,RBBN,3.72,0.27%,539.95M,284.62K,,
111 Inc,YI,6.12,1.49%,537.81M,8.88K,,
AGM A,AGMH,15.9,3.25%,535.85M,3.83K,,
Truecar Inc,TRUE,4.85,-0.21%,523.84M,988.86K,,
Bluecity,BLCT,9.76,0.93%,520.51M,30.24K,,
Harmonic,HLIT,5.21,-2.80%,507.61M,516.38K,,
Mitek,MITK,12.29,1.15%,507.43M,400.76K,,
Fluidigm,FLDM,7.07,-1.05%,504.21M,3.14M,,
ScanSource,SCSC,19.03,0%,482.63M,105.84K,,
ADTRAN,ADTN,9.93,1.27%,476.22M,130.56K,,
Extreme,EXTR,3.88,2.11%,475.47M,841.88K,,
Meet Group,MEET,6.29,0%,458.26M,0,,
Boingo,WIFI,10.29,4.57%,457.58M,530.40K,,
American Software,AMSWA,14,2.04%,454.72M,133.64K,,
PCM,PCMI,35.01,0%,431.60M,0,,
Blucora,BCOR,8.82,0%,423.69M,250.99K,,
Digi,DGII,14.58,-0.85%,423.34M,142.44K,,
eGain,EGAN,13.06,2.43%,403.67M,217.67K,,
Renalytix AI Nas,RNLX,11.65,1.30%,402.15M,10.76K,,
Adesto Technologies Corp,IOTS,12.54,0%,391.87M,0,,
Brightcove,BCOV,9.94,2.05%,391.78M,142.13K,,
Computer Programs&Systems,CPSI,26.49,2.32%,384.43M,50.15K,,
Allied Motion,AMOT,39.08,1.66%,380.81M,21.18K,,
